Customer_ID,job,company,ssn,residence,website,username,name,sex,mail,birthdate,Location_ID
0,"Engineer, manufacturing","Rangel, Miller and Stevens",537-83-1742,"669 Diana Fields
Tranborough, RI 75328","['https://www.nichols.com/', 'http://www.reid-monroe.com/', 'http://salazar.biz/']",williamwright,Misty Scott,F,ismith@gmail.com,1982-07-06,401
1,"Engineer, manufacturing",Johnson Inc,112-06-3752,"4142 Shirley Spurs
Johnsonstad, OH 64349","['http://www.miller.biz/', 'https://evans.org/']",stephenbutler,Michael Hunt,M,davismindy@gmail.com,1935-10-22,1035
2,Media buyer,Levine-Jones,184-75-2060,"8676 Kathryn Turnpike
Port Annshire, AL 92370","['https://www.guzman.com/', 'http://www.nguyen.org/']",rdelgado,William Jones,M,bartlettmercedes@yahoo.com,1943-04-04,54
3,Telecommunications researcher,"Sullivan, Harris and Daugherty",093-26-8877,"28613 Stephen Freeway
Courtneyhaven, TN 17944",['http://mullins-russell.info/'],nsnyder,Nathaniel Torres,M,russellchristina@yahoo.com,1913-12-15,742
4,"Administrator, sports",Romero-Thompson,318-75-7433,"8869 Miller Fall Apt. 318
Johnfort, AL 94758","['http://www.evans-perez.info/', 'https://romero-williams.com/', 'http://www.caldwell.com/', 'https://www.bray-smith.biz/']",jonesrichard,David Meza,M,aaron49@hotmail.com,1987-07-26,785
5,"Programmer, multimedia",Valenzuela LLC,619-90-8589,"0183 Garza Views Suite 906
Bryanside, OH 69674","['http://www.farrell-green.info/', 'http://jackson-moore.org/', 'http://oneill.info/', 'http://williams.biz/']",natashaedwards,Sherry Buck,F,sullivanthomas@gmail.com,2001-07-23,843
6,Travel agency manager,Bowen-Walton,802-10-9999,"17565 Garcia Burgs Suite 701
East Suzanneshire, MS 35392","['https://morton-carroll.com/', 'http://stanley.com/', 'https://www.jones.com/', 'http://www.love.org/']",fitzpatrickkathryn,Cory Martin,M,lewisvanessa@hotmail.com,1950-02-11,659
7,Dispensing optician,Allen-Hudson,412-85-6206,"881 Alison Pines Suite 153
Mossview, PA 06552","['https://www.koch.com/', 'http://www.willis.biz/']",hawkinsjessica,Gina Cook,F,nmyers@hotmail.com,1928-09-19,83
8,Land/geomatics surveyor,"Fitzgerald, Arnold and Ray",092-24-3919,"PSC 5303, Box 8198
APO AE 01858","['http://santos.com/', 'http://www.cowan.info/']",hutchinsonanthony,Ariel Hoffman,F,bensonedward@yahoo.com,2014-08-13,649
9,Special effects artist,Chen-Chapman,749-89-0482,"4777 Jones Dam Apt. 308
North Robertville, MI 62990","['http://bryan-turner.net/', 'https://myers.com/']",tammie14,Christopher Gray,M,john74@gmail.com,1945-09-28,839
10,Legal executive,Smith Inc,756-61-5524,"00114 Williams Island Apt. 536
West Zachary, UT 96170",['https://jones.com/'],david59,Nancy Ross,F,susanholland@gmail.com,1994-09-22,720
11,Personnel officer,Lopez-Ramos,884-93-6764,"830 Kevin Estate Suite 282
Dixonborough, NY 03692",['http://www.keller.com/'],russellruben,Austin Hernandez,M,markjimenez@gmail.com,1980-02-08,892
12,Architectural technologist,"Molina, Baldwin and Mason",581-28-7504,"84216 Graham Way
West Derekland, SC 26918",['https://www.harris-sanchez.org/'],aaron45,April Pope,F,aguilarshannon@hotmail.com,1997-04-28,504
13,Warden/ranger,Roy-Kent,685-48-5044,"Unit 3910 Box 0530
DPO AE 99350",['http://anderson.org/'],emily11,Erin Daniel,F,russellmelanie@hotmail.com,1930-06-07,501
14,Ergonomist,Williams-Garcia,105-28-5566,"34885 Barron Land
Lake Shawnview, CA 99500","['http://www.bradford-jackson.com/', 'https://mcgrath.org/', 'http://www.maynard-bell.net/', 'https://www.rhodes.com/']",josephmitchell,Shannon Carlson,F,alexisrogers@gmail.com,2008-04-14,505
15,Structural engineer,Pierce-Johnson,581-68-3456,"674 Sarah Creek
Armstrongton, DE 69245",['https://james-gray.com/'],hreyes,Steve Schmidt,M,tiffanyrodriguez@hotmail.com,1974-11-04,157
16,Air broker,Olson PLC,339-43-6461,"98520 Collier Mountains Suite 126
West Melinda, DC 88527",['https://keller-gardner.com/'],nwalker,Nicholas Nguyen,M,ecarson@hotmail.com,1915-05-15,609
17,Planning and development surveyor,Lopez LLC,624-50-7795,"56750 Morgan Spurs Suite 411
New Michael, UT 36831","['http://allen-collier.biz/', 'http://www.turner.com/']",bwilliams,Patrick Fuentes,M,tonyakeller@gmail.com,2021-09-06,955
18,Ergonomist,May-Adams,898-54-2769,"4309 Garcia Burgs Suite 817
New Kelseystad, VA 30712","['http://www.schmitt.biz/', 'http://mack.org/']",tphillips,Sheri Stewart,F,yruiz@yahoo.com,2001-03-15,103
19,Colour technologist,"Perry, Green and Lopez",233-37-9429,"4716 Miller Well Suite 083
Christinafurt, WI 97675","['https://www.neal.com/', 'https://jones.com/', 'http://www.cabrera-kelly.com/']",rebecca90,Gabrielle Mckee,F,emurphy@yahoo.com,2010-01-21,733
20,Research scientist (physical sciences),"Pearson, Ward and May",538-48-7195,"681 Traci Locks
Ashleymouth, WA 28392","['https://www.rosales.com/', 'https://www.cunningham.com/']",jamesamber,Thomas Bell,M,christinebennett@hotmail.com,1988-10-16,227
21,Television/film/video producer,"Phillips, Kennedy and Brown",331-32-9234,"31025 William Trail
Moorehaven, MI 20845","['https://www.king.com/', 'https://lopez.biz/', 'http://www.clark.com/']",alex53,Joshua Anderson,M,zmayo@hotmail.com,1929-04-11,950
22,"Librarian, academic",Grant-Young,396-93-8688,"5718 Hays Ways Suite 785
Michelleview, IL 41839","['http://www.patel-romero.info/', 'https://www.williams.biz/', 'https://www.morrow.com/']",davidrichardson,Leslie Gray,F,melissawilliams@hotmail.com,1908-02-04,1077
23,Psychotherapist,"Castaneda, Harding and Lindsey",509-67-4745,"PSC 9947, Box 5377
APO AE 91520",['http://www.hart.com/'],murphydavid,Patricia Young,F,jamieglover@gmail.com,1974-08-01,767
24,Community education officer,"White, Garcia and Buckley",576-36-5655,"88875 Jeffrey Branch Apt. 672
Floresborough, TX 21154","['https://morse-curry.com/', 'https://www.gilbert.org/', 'http://white-lewis.com/', 'http://www.briggs-brennan.com/']",steinjanet,Kathleen Fowler,F,jennifergonzalez@hotmail.com,1928-06-30,408
25,Artist,Gill-Freeman,227-88-2068,"467 Christopher View
North Anneside, MA 07454","['http://www.mendez.org/', 'https://www.herring.com/']",johnsonwhitney,Seth Moreno,M,meadowsjeffrey@yahoo.com,1947-02-24,384
26,Hospital pharmacist,"Wheeler, Dunn and Smith",654-14-5693,"9234 Moss Harbors
Kristinmouth, TN 80444","['http://www.mcdonald.com/', 'https://williams.org/', 'https://www.hill.net/', 'https://delgado.com/']",baileypamela,Timothy Mason,M,brownjoseph@gmail.com,1927-03-13,785
27,Farm manager,"Buckley, Meyers and Wright",140-95-5696,"373 Jackson Fords Apt. 008
North John, WI 37583","['https://bass.net/', 'http://smith.com/', 'http://www.atkins-gross.com/']",eosborn,Matthew Trujillo,M,bwade@yahoo.com,1920-08-26,1072
28,Musician,Long-Ball,703-54-0582,"1197 Melissa Locks
Christinafurt, ID 19933",['http://www.johnson-reynolds.info/'],jean24,Robert Nguyen,M,myerskevin@yahoo.com,1944-02-03,959
29,Fast food restaurant manager,Hooper and Sons,175-69-0013,"8566 Jasmine Stravenue
West Ruthchester, IL 20228","['http://www.powell.com/', 'http://www.johnston.com/', 'http://perry.com/']",clarkeric,Shelly Boyle,F,loririvera@hotmail.com,2000-08-08,410
30,"Engineer, production","Rice, Reyes and Byrd",590-55-5357,"8006 Christopher Meadows
Lake Andreaborough, DC 90994","['https://nelson-savage.com/', 'http://www.avila.com/', 'https://white-velez.com/', 'https://mccarthy.com/']",coreyduncan,Harry Mitchell,M,tinajohnson@gmail.com,1920-01-17,1139
31,Mental health nurse,"Perez, Frost and Hansen",206-44-2314,"66006 Tracie Coves
Sanchezmouth, NM 37634","['https://steele.com/', 'http://www.dalton.com/']",josephclark,Stephanie Chavez,F,danderson@gmail.com,1912-12-15,40
32,"Pharmacist, hospital",Huerta PLC,454-36-8693,"08274 Francis Row Apt. 787
Adamsstad, KS 08418","['https://www.burch-jones.net/', 'http://www.johnson-reynolds.com/', 'https://jones.info/']",jasonmurphy,Donald Cuevas,M,joshua72@yahoo.com,1946-12-19,566
33,"Nurse, adult",Thomas Group,091-59-2830,"095 Parsons Pine
Madisonside, KS 67969","['https://www.horne.com/', 'https://hatfield-miller.net/']",gillangela,April Gonzalez,F,evansricardo@yahoo.com,2014-10-07,819
34,Translator,Patrick PLC,381-07-4838,"33546 Ricardo Island
Riosberg, AR 90145",['http://www.rodriguez.com/'],julian49,Jason Taylor,M,iparker@hotmail.com,1940-08-10,1195
35,Museum/gallery exhibitions officer,Miller Inc,529-63-2019,"512 Sullivan Parkways Suite 612
Port Dawn, HI 95366","['http://www.wilson.com/', 'https://www.martinez.com/', 'https://morris-sparks.com/']",gainestimothy,Joseph Schultz,M,logan10@hotmail.com,1951-03-01,1001
36,Special educational needs teacher,"Rubio, Beasley and Moore",407-63-1552,"948 Smith Field Apt. 230
Kimberlyview, MA 96547","['http://www.wright.biz/', 'http://www.pineda.net/', 'http://www.lloyd.com/']",usavage,Kimberly Nichols,F,jacqueline10@gmail.com,1938-01-10,830
37,Chemical engineer,Ware PLC,609-61-6062,"65293 Cameron Fords
East Ambershire, AK 96833","['https://www.alexander.org/', 'http://reed.net/']",browncatherine,Daniel Rogers,M,lindsayjordan@gmail.com,1933-07-25,975
