Location_ID,Address,Lat,Long,Post_Code,City,Country_code,Country_name,States
0,0487 Hull Village Suite 759,38.91817,-78.19444,66651,Front Royal,US,America,New_York
1,2194 Kyle Stream,38.58894,-89.99038,90152,Fairview Heights,US,America,Chicago
2,8156 Carr Ford Suite 784,32.54044,-82.90375,72420,Dublin,US,America,New_York
3,60975 Jessica Squares,33.08014,-83.2321,25544,Milledgeville,US,America,New_York
4,28711 Golden Overpass,39.33427,-76.43941,40012,Middle River,US,America,New_York
5,185 Tamara Rapids Suite 719,40.72371,-73.95097,42056,Greenpoint,US,America,New_York
6,2320 Alvarez Corners,34.25807,-88.70464,20102,Tupelo,US,America,Chicago
7,86848 Melissa Springs,40.34912,-111.90466,55475,Saratoga Springs,US,America,Denver
8,7515 Tom Roads Suite 330,41.80753,-87.65644,15854,New City,US,America,Chicago
9,2560 Krista Walk,37.60876,-77.37331,06429,Mechanicsville,US,America,New_York
10,13991 Davis Village,39.32288,-76.72803,05270,Woodlawn,US,America,New_York
11,21730 Amy River,38.96372,-76.99081,34569,Chillum,US,America,New_York
12,14562 William Canyon,47.38093,-122.23484,13728,Kent,US,America,Los_Angeles
13,45792 Tammy Centers Apt. 258,41.15376,-87.88754,15864,Bourbonnais,US,America,Chicago
14,207 Mccullough Well Suite 564,34.77453,-96.67834,73979,Ada,US,America,Chicago
15,1508 Taylor Track,38.54491,-121.74052,46667,Davis,US,America,Los_Angeles
16,599 Jennifer Loaf Suite 109,30.5427,-97.54667,92065,Hutto,US,America,Chicago
17,33769 Johnson Well Suite 027,33.08014,-83.2321,34478,Milledgeville,US,America,New_York
18,8789 Nicole Park,42.97086,-82.42491,41403,Port Huron,US,America,Detroit
19,63812 Richard Springs Suite 503,26.68451,-80.66756,94522,Belle Glade,US,America,New_York
20,891 David Run,32.5007,-94.74049,40139,Longview,US,America,Chicago
21,217 Burton Brooks Suite 714,35.05266,-78.87836,86165,Fayetteville,US,America,New_York
22,24000 Erin Point Suite 590,20.88953,-156.47432,86400,Kahului,US,America,Honolulu
23,765 Jared Radial Suite 022,41.80753,-87.65644,44201,New City,US,America,Chicago
24,1590 Joseph Drive Suite 568,34.25807,-88.70464,38958,Tupelo,US,America,Chicago
25,3042 Kevin Village,42.7392,-84.62081,39721,Waverly,US,America,Detroit
26,18775 Martinez Crescent Suite 604,45.0408,-93.263,96806,Columbia Heights,US,America,Chicago
27,96111 Kara Circle,40.72371,-73.95097,01530,Greenpoint,US,America,New_York
28,8847 Kramer Station,38.91817,-78.19444,55949,Front Royal,US,America,New_York
29,3492 Lee Crescent,33.08014,-83.2321,92514,Milledgeville,US,America,New_York
30,731 Sanders Fords,30.17746,-81.38758,28798,Palm Valley,US,America,New_York
31,37658 Daniel Ranch,33.03699,-117.29198,19952,Encinitas,US,America,Los_Angeles
32,687 Bass Parks Apt. 893,35.25064,-91.73625,45094,Searcy,US,America,Chicago
33,0824 Megan Prairie Suite 711,36.06523,-119.01677,05667,Porterville,US,America,Los_Angeles
34,20407 Atkins Union,39.43534,-84.20299,86495,Lebanon,US,America,New_York
35,8688 Audrey Springs Apt. 634,33.76446,-117.79394,78962,North Tustin,US,America,Los_Angeles
36,6993 Diane Alley Apt. 489,42.24113,-88.3162,44106,Crystal Lake,US,America,Chicago
37,4466 Brown Row,33.41012,-91.06177,31820,Greenville,US,America,Chicago
38,500 Butler Overpass Apt. 256,26.2173,-80.22588,80687,North Lauderdale,US,America,New_York
39,7017 Andrew Rapid Apt. 518,47.92526,-97.03285,26056,Grand Forks,US,America,Chicago
40,1097 Santos Springs Suite 264,37.95143,-91.77127,68528,Rolla,US,America,Chicago
41,67537 Clarke Club,26.91756,-82.07842,05741,Punta Gorda Isles,US,America,New_York
42,0899 Jerry Trail Suite 841,39.71734,-74.96933,56333,Sicklerville,US,America,New_York
43,16116 Jessica Burgs Suite 660,33.52253,-117.70755,43033,Laguna Niguel,US,America,Los_Angeles
44,51150 Bailey Branch Apt. 519,35.88264,-80.08199,27761,Thomasville,US,America,New_York
45,10450 Michele Ferry,41.16704,-73.20483,15232,Bridgeport,US,America,New_York
46,4203 Rogers Highway Suite 852,47.76232,-122.2054,11092,Bothell,US,America,Los_Angeles
47,942 Hurst Crossroad,39.00622,-77.4286,41905,Sterling,US,America,New_York
48,24560 Carolyn Lock,39.78504,-85.76942,92535,Greenfield,US,America,Indiana/Indianapolis
49,64862 Evans Knoll,39.08367,-84.50855,33014,Covington,US,America,New_York
50,580 Ortiz Mall Suite 735,42.35843,-71.05977,62221,Boston,US,America,New_York
51,14189 Laura Mission,40.63316,-74.13653,24799,Port Richmond,US,America,New_York
52,2375 Michael Roads Apt. 734,33.45122,-86.99666,92119,Hueytown,US,America,Chicago
53,703 Wilson Roads Suite 892,41.24255,-82.61573,93076,Norwalk,US,America,New_York
54,73864 David Skyway Apt. 046,34.09611,-118.10583,76734,San Gabriel,US,America,Los_Angeles
55,1454 Caitlin Camp Apt. 448,44.73941,-93.12577,15991,Rosemount,US,America,Chicago
56,16448 Audrey Road,32.35126,-95.30106,70149,Tyler,US,America,Chicago
57,8644 Watson Road,34.25628,-78.04471,21088,Leland,US,America,New_York
58,166 Taylor Skyway,42.58342,-71.8023,46908,Fitchburg,US,America,New_York
59,637 Neal Island Suite 074,35.88264,-80.08199,98177,Thomasville,US,America,New_York
60,93057 Oneal Branch Apt. 160,40.82232,-74.15987,05898,Nutley,US,America,New_York
61,044 Donald Ports,41.75338,-86.11084,25562,Granger,US,America,Indiana/Indianapolis
62,7562 Fisher Spur,40.24537,-75.64963,19902,Pottstown,US,America,New_York
63,285 Jason Ferry Suite 566,34.14251,-118.25508,51558,Glendale,US,America,Los_Angeles
64,73906 Jim Corner,31.12406,-97.90308,48160,Copperas Cove,US,America,Chicago
65,239 Salazar Squares,33.72255,-116.37697,99000,Palm Desert,US,America,Los_Angeles
66,6708 Carpenter Overpass Suite 735,41.8542,-87.66561,06036,Lower West Side,US,America,Chicago
67,25040 Bryce Meadow,37.60876,-77.37331,80276,Mechanicsville,US,America,New_York
68,373 Franklin Rest Apt. 558,41.16704,-73.20483,43118,Bridgeport,US,America,New_York
69,80351 Molly Key Apt. 344,41.9001,-71.08977,68252,Taunton,US,America,New_York
70,7530 Villa Cliffs Apt. 777,27.71809,-82.35176,54518,Sun City Center,US,America,New_York
71,7111 Corey Track Apt. 637,40.81,-73.9625,10612,Morningside Heights,US,America,New_York
72,602 Tracy Crossroad Suite 556,39.33427,-76.43941,73515,Middle River,US,America,New_York
73,834 Palmer Mountain Suite 430,39.09112,-94.41551,81093,Independence,US,America,Chicago
74,63340 Trevino Crossing,40.72371,-73.95097,85068,Greenpoint,US,America,New_York
75,95384 Jodi Garden Apt. 845,41.27621,-72.86843,49416,East Haven,US,America,New_York
76,9220 Richardson Roads Apt. 262,32.44874,-99.73314,67409,Abilene,US,America,Chicago
77,37933 Lisa Trace,40.72371,-73.95097,46830,Greenpoint,US,America,New_York
78,719 Alicia Knolls,34.14251,-118.25508,60217,Glendale,US,America,Los_Angeles
79,38277 Padilla Common Suite 296,29.53885,-95.44744,41974,Fresno,US,America,Chicago
80,0305 Matthew Mill Apt. 452,42.52787,-70.92866,02726,Peabody,US,America,New_York
81,802 Johnson Road Apt. 030,26.68451,-80.66756,30093,Belle Glade,US,America,New_York
82,05623 Graham Knolls Suite 256,40.60538,-73.75513,01763,Far Rockaway,US,America,New_York
83,8870 Robert Loaf Apt. 082,47.80527,-122.24064,87267,Bothell West,US,America,Los_Angeles
84,53230 Julia Villages,31.84568,-102.36764,22562,Odessa,US,America,Chicago
85,9197 Christina Canyon,41.15376,-87.88754,45098,Bourbonnais,US,America,Chicago
86,07154 Stephen Parkways Suite 265,41.80753,-87.65644,65029,New City,US,America,Chicago
87,48487 Kendra Ports Suite 076,39.09112,-94.41551,53425,Independence,US,America,Chicago
88,0040 Becker Prairie Suite 388,44.73941,-93.12577,51104,Rosemount,US,America,Chicago
89,19539 Martin Ways Apt. 509,27.09978,-82.45426,74539,Venice,US,America,New_York
90,5445 Patton Rapid,40.2737,-76.88442,22787,Harrisburg,US,America,New_York
91,90725 Stacy Neck,42.24113,-88.3162,98448,Crystal Lake,US,America,Chicago
92,86428 Bryan Route,35.74788,-95.36969,76481,Muskogee,US,America,Chicago
93,896 Baker Haven,26.68451,-80.66756,56692,Belle Glade,US,America,New_York
94,8885 Lee Tunnel Suite 208,34.77453,-96.67834,87156,Ada,US,America,Chicago
95,7086 Rachel Lake Apt. 357,28.54944,-81.77285,96304,Clermont,US,America,New_York
96,342 Miller Mission,41.14676,-73.49484,98023,New Canaan,US,America,New_York
97,132 Mclean Meadow Suite 446,40.72816,-74.07764,80414,Jersey City,US,America,New_York
98,40704 Kathryn Lights Suite 609,38.17492,-122.2608,46976,American Canyon,US,America,Los_Angeles
99,450 Wells Pike,35.05266,-78.87836,05951,Fayetteville,US,America,New_York
100,550 James Creek,36.91023,-121.75689,62249,Watsonville,US,America,Los_Angeles
101,0562 Russell Divide,47.38093,-122.23484,19832,Kent,US,America,Los_Angeles
102,8022 Renee Squares Apt. 808,40.64621,-73.97069,24122,Kensington,US,America,New_York
103,118 Lisa Flats Suite 544,36.06523,-119.01677,60332,Porterville,US,America,Los_Angeles
104,8209 Darlene Bypass,43.91452,-69.96533,09891,Brunswick,US,America,New_York
105,793 Boyd Station,45.0408,-93.263,86380,Columbia Heights,US,America,Chicago
106,8081 Smith Trail,38.06084,-97.92977,14130,Hutchinson,US,America,Chicago
107,597 Bass Passage Suite 125,28.90054,-81.26367,24434,Deltona,US,America,New_York
108,59306 Holly Underpass,40.64621,-73.97069,07347,Kensington,US,America,New_York
109,1607 Munoz River,42.24113,-88.3162,88623,Crystal Lake,US,America,Chicago
110,762 Shawn Greens Apt. 615,32.52515,-93.75018,16670,Shreveport,US,America,Chicago
111,0269 Marcus Turnpike,32.42067,-104.22884,98282,Carlsbad,US,America,Denver
112,1086 Johnson Path Apt. 155,38.96372,-76.99081,62286,Chillum,US,America,New_York
113,84006 Moore Plaza,39.71734,-74.96933,21545,Sicklerville,US,America,New_York
114,39507 Williams Garden,41.85059,-87.882,43567,Westchester,US,America,Chicago
115,53267 Walter Dam,40.72371,-73.95097,74545,Greenpoint,US,America,New_York
116,90622 Anthony Islands,33.93113,-117.54866,00985,Norco,US,America,Los_Angeles
117,19922 French Manor,40.24537,-75.64963,74955,Pottstown,US,America,New_York
118,325 Amanda Cliffs Apt. 695,32.52515,-93.75018,57063,Shreveport,US,America,Chicago
119,76363 Sanders Prairie Apt. 448,40.57788,-73.95958,71586,Brighton Beach,US,America,New_York
120,973 Williams Islands,40.68066,-73.47429,82565,Massapequa,US,America,New_York
121,026 Katrina Street,40.68066,-73.47429,57249,Massapequa,US,America,New_York
122,797 Gene Mountains,40.93121,-73.89875,21342,Yonkers,US,America,New_York
123,155 Courtney Trafficway Suite 803,42.24113,-88.3162,23687,Crystal Lake,US,America,Chicago
124,6048 Johnson Loop Suite 635,35.05266,-78.87836,17822,Fayetteville,US,America,New_York
125,520 Ray Mountain,39.78504,-85.76942,84635,Greenfield,US,America,Indiana/Indianapolis
126,8822 Jared Forks,25.67927,-80.31727,69353,Kendall,US,America,New_York
127,5945 Leah Walk,43.1009,-75.23266,34811,Utica,US,America,New_York
