Location_ID,Address,Lat,Long,Post_Code,City,Country_code,Country_name,States
55340,0487 Hull Village Suite 759,38.91817,-78.19444,66651,Front Royal,US,America,New_York
9127,19489 Kyle Stream Apt. 578,38.96372,-76.99081,46873,Chillum,US,America,New_York
28453,387 Grimes Green Apt. 801,40.63316,-74.13653,93595,Port Richmond,US,America,New_York
54057,753 Padilla Circles,29.53885,-95.44744,74885,Fresno,US,America,Chicago
14529,87115 Rodriguez Plaza,41.47892,-87.45476,93111,Schererville,US,America,Chicago
8179,398 Wallace Ranch Suite 593,41.47892,-87.45476,24601,Schererville,US,America,Chicago
12411,94711 Nancy Camp,38.06084,-97.92977,92162,Hutchinson,US,America,Chicago
54352,848 Melissa Springs Suite 947,33.7207,-116.21677,87040,Indio,US,America,Los_Angeles
42021,59179 Bruce Gardens Apt. 413,40.57788,-73.95958,22846,Brighton Beach,US,America,New_York
21793,12309 Anthony Roads Apt. 991,40.68066,-73.47429,12498,Massapequa,US,America,New_York
24257,90321 Clark Union,32.54044,-82.90375,89544,Dublin,US,America,New_York
1493,141 Charles Hollow Suite 620,34.63915,-120.45794,61728,Lompoc,US,America,Los_Angeles
2580,634 Strong Mountains,43.54072,-116.56346,22707,Nampa,US,America,Boise
45724,22584 Candice Mills,35.61452,-88.81395,2231,Jackson,US,America,Chicago
30908,845 Monroe Glen Apt. 807,38.06084,-97.92977,44530,Hutchinson,US,America,Chicago
48432,423 Bell Heights,40.72816,-74.07764,77869,Jersey City,US,America,New_York
41533,466 Aaron Fields,45.0408,-93.263,21482,Columbia Heights,US,America,Chicago
15690,769 Johnson Well,43.54072,-116.56346,55318,Nampa,US,America,Boise
50605,71427 Odonnell Rapids,33.45122,-86.99666,5601,Hueytown,US,America,Chicago
32412,7063 Mary Curve Apt. 665,33.45122,-86.99666,28488,Hueytown,US,America,Chicago
936,891 David Run,32.5007,-94.74049,40139,Longview,US,America,Chicago
18348,76104 Marsh Crescent,42.24113,-88.3162,17988,Crystal Lake,US,America,Chicago
42832,24000 Erin Point Suite 590,20.88953,-156.47432,86400,Kahului,US,America,Honolulu
32406,658 Jared Radial Suite 022,41.80753,-87.65644,44201,New City,US,America,Chicago
22119,159 Blake Estates Apt. 945,41.50343,-74.01042,72391,Newburgh,US,America,New_York
8496,73042 Kevin Village Suite 461,38.96372,-76.99081,74010,Chillum,US,America,New_York
31534,5171 Simmons Hollow Suite 229,40.67705,-73.89125,84240,Cypress Hills,US,America,New_York
5696,33060 Phillip Path,41.47892,-87.45476,59292,Schererville,US,America,Chicago
32022,1534 Ryan Knolls,39.32288,-76.72803,8870,Woodlawn,US,America,New_York
53869,731 Sanders Fords,30.17746,-81.38758,28798,Palm Valley,US,America,New_York
40856,37658 Daniel Ranch,33.03699,-117.29198,19952,Encinitas,US,America,Los_Angeles
36956,687 Bass Parks Apt. 893,35.25064,-91.73625,45094,Searcy,US,America,Chicago
46241,0824 Megan Prairie Suite 711,36.06523,-119.01677,5667,Porterville,US,America,Los_Angeles
4348,04075 Lauren Ways,33.35283,-111.78903,49170,Gilbert,US,America,Phoenix
33095,809 Erika Valley Apt. 634,33.76446,-117.79394,78962,North Tustin,US,America,Los_Angeles
27383,9930 Joy Hollow Suite 517,42.16808,-88.42814,40190,Huntley,US,America,Chicago
50625,6022 Justin Village Suite 007,41.55838,-81.56929,18969,Collinwood,US,America,New_York
32232,256 Cheryl Lights,33.35283,-111.78903,6665,Gilbert,US,America,Phoenix
6650,00992 Garcia Plaza Suite 367,39.32011,-76.51552,8386,Rosedale,US,America,New_York
39984,519 Kramer Crossroad Suite 418,29.53885,-95.44744,5505,Fresno,US,America,Chicago
51256,5375 Sue Canyon Suite 408,43.54072,-116.56346,75447,Nampa,US,America,Boise
14154,88684 Dustin Port,41.24255,-82.61573,11515,Norwalk,US,America,New_York
6865,16207 Parks Burgs Suite 541,40.94065,-73.99681,9719,Dumont,US,America,New_York
7954,055 Alejandro Fort Suite 192,32.35126,-95.30106,924,Tyler,US,America,Chicago
13421,045 Sarah Fort,35.88264,-80.08199,25010,Thomasville,US,America,New_York
29756,5420 Michael Mountains,41.47892,-87.45476,39343,Schererville,US,America,Chicago
36254,91189 Moore Drive Apt. 358,41.6764,-91.58045,31520,Coralville,US,America,Chicago
49470,5602 Phillip Squares,38.58894,-89.99038,17805,Fairview Heights,US,America,Chicago
27540,629 Evans Knoll Apt. 375,34.95303,-120.43572,8084,Santa Maria,US,America,Los_Angeles
24669,65735 Farley Course Apt. 141,36.20829,-115.98391,79871,Pahrump,US,America,Los_Angeles
